Component,Part Number,Description,Quantity
800-BBDM : UEFI BIOS Boot Mode with GPT P artition,0616F,"INFORMATION, BOOT, GPT, OVERRIDE",1
,XP9T9,"INFORMATION, BOOT, CONTAINER, GPT",1
780-BCDS : Unconfigured RAID,13148,"Information, Software, Format   to Server",1
,0M1FT,"INFORMATION, UNCONFIGURED DRIVES",1
,87G7G,"INFORMATION, C7, ASSUNC, 14G",1
,JXJ30,"INFORMATION, JOINT-BACKPLANE",1
770-BCGD : Cable Management Arm,376Y0,"Kit, Rack Rail, CMA+, SRBT, 2U",1
770-BCGC : ReadyRails Sliding Rails,V5FMR,"KIT, RDYRL, 2U, SLDN, SLIM FORM FACTOR, 72.3MM",1
"631-AACK : No Systems Documentation, No O penManage DVD Kit",7213U,"INFORMATION, EDOCS-OPTION-ONLY",1
619-ABVR : No Operating System,1U112,"SERVICE CHARGE, SOFTWARE, DELL COMPUTER CORPORATION, NULL-OS",1
"555-BCKP : Intel X710 Quad Port 10GbE SFP +, rNDC",68M95,"CARD (CIRCUIT), NETWORK, 13G, RNDC, INCH, 10G, SMALL FORM FACTOR PLUGGABLE, 4",1
,94682,"SCREW, M3X.5X5MM, HEXHEAD, PHILLIPS HEAD, THREAD FORMED, ZINC PLATED STEEL",2
,CNX7T,"INFORMATION, SFP+, FACTORY FLAG",1
,F76JF,"SERVICE CHARGE, SOFTWARE, NETWORK, INTERNATIONAL, V18.5, Q2FY19",1
,G34FR,"DISK PROGRAM, NETWORK, INTERNAL, V18.5, FV, FIRMWARE",1
,KH62W,"DISK PROGRAM, NETWORK, INTEL, V18.5, MISCELLANEOUS",1
528-BCBW : MAC Address Reporting Service,2F1R6,"DPK, HFINK, KT, CSV, TRIGGER",1
528-BBWT : OME Server Configuration Manag ement,JGR6P,"INFORMATION, OOBE, OME, DF, 14G",1
,8M2MK,"DPK, HWFI, KT, OME, 14G",1
,N3WPH,"INFORMATION, GEMINI, LICENSING, TRIGGER",1
,788N6,"DPK, HWFI, KG, OME, 14G",1
,81J34,"SERVICE CHARGE, LICENSE ENTITLEMENT",1
"492-BBDH : C13 to C14, PDU Style, 12 AMP, 2 Feet (.6m) Power Cord, North America",95DYN,"CORD, POWER, 13A, 2F, C13/C14, UNITED STATES",2
461-AAEM : Trusted Platform Module 2.0,15F0V,"INFORMATION, SERVER, SERVER CHASSIS, TRUSTED PLATFORM MODULE, 2.0, 14G",1
,1MW70,"ASSEMBLY, CARD (CIRCUIT), SECURITY, TRUSTED PLATFORM MODULE, 2.0, 14G",1
"450-AFMQ : Dual, Hot-plug, Redundant Powe r Supply (1+1), 1600W, 250 Vol t Power Cord Required for Use",33DH8,"ASSEMBLY, LABEL, REGULATORY, FCC1, 1600, ALTERNATING CURRENT",1
,N6523,"INFORMATION, REDUNDANT, Power Supply Unit",1
,95HR5,"POWER SUPPLY, 1600W, REDUNDANT, DELTA PRODUCTS, V1",2
421-5736 : No Media Required,734TT,"INFORMATION, SOFTWARE, NORTH, MEDIA",1
"405-AANR : PERC H740P RAID Controller, 8G B NV Cache, Adapter, Full Heig ht",DPNHJ,"ASSEMBLY, CARD (CIRCUIT), CONTROLLER, H740P, 8GB, AIRDEFENSE, 18FL",1
,8TF1V,"SERVICE CHARGE, DRIVER, H740P, ADAPTER, SAS-RAID",1
,8KYYM,"BRACKET, PERC9, FULL HEIGHT, H730/H330, KIT",1
,J2RH2,"LABEL, BATTERY, IATA, LITHIUM, ION, UN3481",1
"403-BBPT : BOSS controller card +  with 2  M.2 Sticks 240G (RAID 1),FH",8RJ7X,"INFORMATION, BOOT, MOSAIC/MIDAS,M2P3,M2P4 & TANG, PE",1
,JV70F,"ASSEMBLY, CARD (CIRCUIT), CONTROLLER, BOSS2, Serial ATA, HARDWARE RAID, FULL HEIGHT",1
,X53H0,"SERVICE CHARGE, DRIVER, HWRAID BOSS",1
,TC2RP,"SSDR, 240G, 2N, IT06, M.2, MALE, 5, EDGE CARD",2
,3FD28,"INFORMATION, BC2, R1, 14G",1
"400-AWLD : Intel 1.6TB, NVMe, Mixed Use E xpress Flash, 2.5 SFF Drive, U .2, P4600 with Carrier",R9445,"SCREW, M3X.05X4.5MM, FLAT HEAD, MACHINE SCREW, ZINC PLATED STEEL",32
,DXD9H,"ASSEMBLY, CARRIER, HD/SSD, 2.5, 14G",8
,F5P84,"SSDR, 1.6TB, NVME, PERIPHERAL COMPONENT INTERCONNECT EXPRESS , 2.5, P4600",8
,4JKNV,"System Integration, LABEL, PRINT ON DEMAND, HARD DRIVE, RECTANGULAR, 14G",8
"400-ASFM : 960GB SSD SATA Read Intensive 6Gbps 512n 2.5in Hot-plug Driv e, PM863a,1 DWPD,1752 TBW",4JKNV,"System Integration, LABEL, PRINT ON DEMAND, HARD DRIVE, RECTANGULAR, 14G",12
,DXD9H,"ASSEMBLY, CARRIER, HD/SSD, 2.5, 14G",12
,R9445,"SCREW, M3X.05X4.5MM, FLAT HEAD, MACHINE SCREW, ZINC PLATED STEEL",48
,T2G0Y,"SSDR, 960G, SATA6, 2.5, 512N, SURFACE MOUNT, EDGE CARD",12
387-BBMK : Energy Star,34MPT,"INFORMATION, DEO, ENTERPRISE, FISH/FIV",1
385-BBLE : IDSDM and Combo Card Reader,RT6JG,"ASSEMBLY, CARD (CIRCUIT), CONTROLLER, IDSDM, VFLASH, 14G",1
"385-BBKT : iDRAC9,Enterprise",P558Y,"INFORMATION, ROYALTY, ENTERPRISE, 14G, AVOCENT",1
,N3WPH,"INFORMATION, GEMINI, LICENSING, TRIGGER",1
,R5TH4,"DPK, HWFI, KG, IDRAC9, 14G",1
,R1G27,"INFORMATION, ROYALTY, ENTERPRISE, 14G, INTEL",1
